,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,2550,3300,-1.0,
1,2,1,1,0,0,0,1848,168,408,70,-1.0,
2,3,1,1,1,0,0,1848,168,408,70,-1.0,
3,4,1,1,1,1,0,1848,168,408,25,-1.0,
4,5,1,1,1,1,1,1848,168,134,25,92.188087,INVOICE
5,5,1,1,1,1,2,1999,168,257,25,89.302971,NO.172112420
6,4,1,1,1,2,0,2066,207,188,31,-1.0,
7,5,1,1,1,2,1,2066,207,33,24,93.300629,12
8,5,1,1,1,2,2,2109,207,57,31,92.333405,"Jan,"
9,5,1,1,1,2,3,2180,207,74,25,96.376785,2016
10,2,1,2,0,0,0,290,116,377,160,-1.0,
11,3,1,2,1,0,0,290,116,377,160,-1.0,
12,4,1,2,1,1,0,290,116,377,160,-1.0,
13,5,1,2,1,1,1,290,116,377,160,95.0, 
14,2,1,3,0,0,0,1077,422,389,40,-1.0,
15,3,1,3,1,0,0,1077,422,389,40,-1.0,
16,4,1,3,1,1,0,1077,422,389,40,-1.0,
17,5,1,3,1,1,1,1077,422,389,40,0.0,jhanksifogusinglOlacabs]
18,2,1,4,0,0,0,221,303,2108,217,-1.0,
19,3,1,4,1,0,0,221,303,2108,217,-1.0,
20,4,1,4,1,1,0,221,303,2108,217,-1.0,
21,5,1,4,1,1,1,221,303,2108,217,95.0, 
22,2,1,5,0,0,0,285,661,75,432,-1.0,
23,3,1,5,1,0,0,285,661,75,432,-1.0,
24,4,1,5,1,1,0,285,661,75,252,-1.0,
25,5,1,5,1,1,1,285,661,75,252,95.0,    
26,4,1,5,1,2,0,285,913,58,180,-1.0,
27,5,1,5,1,2,1,285,913,58,180,95.0, 
28,2,1,6,0,0,0,728,607,1521,101,-1.0,
29,3,1,6,1,0,0,728,607,1521,101,-1.0,
30,4,1,6,1,1,0,728,607,1521,22,-1.0,
31,5,1,6,1,1,1,728,607,1521,22,95.0, 
32,4,1,6,1,2,0,728,629,1521,32,-1.0,
33,5,1,6,1,2,1,728,629,1521,32,95.0, 
34,4,1,6,1,3,0,746,661,1503,23,-1.0,
35,5,1,6,1,3,1,746,661,1503,23,95.0,    
36,4,1,6,1,4,0,1752,684,497,24,-1.0,
37,5,1,6,1,4,1,1752,684,497,24,95.0,  
38,2,1,7,0,0,0,397,637,67,43,-1.0,
39,3,1,7,1,0,0,397,637,71,43,-1.0,
40,4,1,7,1,1,0,397,637,67,43,-1.0,
41,5,1,7,1,1,1,397,637,67,43,0.0,aSA
42,2,1,8,0,0,0,353,684,1896,573,-1.0,
43,3,1,8,1,0,0,353,684,1896,573,-1.0,
44,4,1,8,1,1,0,752,684,665,37,-1.0,
45,5,1,8,1,1,1,752,684,665,37,95.0,   
46,4,1,8,1,2,0,518,754,418,122,-1.0,
47,5,1,8,1,2,1,518,754,418,122,95.0,  
48,4,1,8,1,3,0,491,876,445,37,-1.0,
49,5,1,8,1,3,1,491,876,445,37,95.0,  
50,4,1,8,1,4,0,353,1228,1896,29,-1.0,
51,5,1,8,1,4,1,353,1228,425,29,95.0, 
52,5,1,8,1,4,2,928,1228,1321,29,95.0, 
53,2,1,9,0,0,0,2238,708,11,492,-1.0,
54,3,1,9,1,0,0,2238,708,11,492,-1.0,
55,4,1,9,1,1,0,2238,708,11,132,-1.0,
56,5,1,9,1,1,1,2238,708,11,132,95.0,    
57,4,1,9,1,2,0,2238,840,11,179,-1.0,
58,5,1,9,1,2,1,2238,840,11,179,95.0,   
59,4,1,9,1,3,0,2238,1019,11,181,-1.0,
60,5,1,9,1,3,1,2238,1019,11,181,95.0,    
61,2,1,10,0,0,0,433,704,73,26,-1.0,
62,3,1,10,1,0,0,433,704,73,26,-1.0,
63,4,1,10,1,1,0,433,704,73,26,-1.0,
64,5,1,10,1,1,1,433,704,73,26,95.0, 
65,2,1,11,0,0,0,349,631,1403,205,-1.0,
66,3,1,11,1,0,0,356,631,1396,174,-1.0,
67,4,1,11,1,1,0,654,631,237,53,-1.0,
68,5,1,11,1,1,1,654,631,237,53,0.0,CEd
69,4,1,11,1,2,0,375,663,473,91,-1.0,
70,5,1,11,1,2,1,375,685,36,12,0.0,-.7f
71,5,1,11,1,2,2,415,663,85,53,0.0,uo
72,5,1,11,1,2,3,650,683,26,23,1.524849,2
73,5,1,11,1,2,4,704,686,21,22,0.0,ail
74,5,1,11,1,2,5,784,682,34,39,0.0,o
75,5,1,11,1,2,6,784,668,64,86,49.74876,Z
76,4,1,11,1,3,0,486,701,1266,135,-1.0,
77,5,1,11,1,3,1,472,720,123,38,0.0,Com
78,5,1,11,1,3,2,609,702,152,67,0.0,f
79,5,1,11,1,3,3,739,724,104,112,0.0,1₹
80,5,1,11,1,3,4,843,710,63,72,0.0,~
81,5,1,11,1,3,5,1417,701,181,39,92.347252,TOTAL
82,5,1,11,1,3,6,1623,702,129,37,93.163048,FARE
83,4,1,11,1,4,0,349,771,435,48,-1.0,
84,5,1,11,1,4,1,349,773,53,36,0.0,N
85,5,1,11,1,4,2,417,775,86,44,0.0,Puggi
86,5,1,11,1,4,3,624,793,2,2,0.0,]
87,5,1,11,1,4,4,654,771,8,34,73.822197,}
88,5,1,11,1,4,5,749,771,35,15,0.0,“1
89,2,1,12,0,0,0,349,799,73,56,-1.0,
90,3,1,12,1,0,0,349,799,73,48,-1.0,
91,4,1,12,1,1,0,349,799,25,23,-1.0,
92,5,1,12,1,1,1,349,799,25,23,0.524834,₹y
93,4,1,12,1,2,0,369,831,53,24,-1.0,
94,5,1,12,1,2,1,357,831,65,24,0.0,n
95,2,1,13,0,0,0,1378,780,416,130,-1.0,
96,3,1,13,1,0,0,1378,780,416,130,-1.0,
97,4,1,13,1,1,0,1378,780,416,130,-1.0,
98,5,1,13,1,1,1,1378,780,416,130,83.750824,₹416
99,2,1,14,0,0,0,1334,945,503,62,-1.0,
100,3,1,14,1,0,0,1334,945,503,62,-1.0,
101,4,1,14,1,1,0,1340,945,485,24,-1.0,
102,5,1,14,1,1,1,1340,945,116,24,92.804604,TOTAL
103,5,1,14,1,1,2,1468,945,179,24,92.445007,DISTANCE:
104,5,1,14,1,1,3,1662,945,98,24,93.243912,23.95
105,5,1,14,1,1,4,1774,945,51,24,91.719299,km
106,4,1,14,1,2,0,1334,982,503,25,-1.0,
107,5,1,14,1,2,1,1334,983,116,24,90.287468,TOTAL
108,5,1,14,1,2,2,1462,983,77,24,91.900482,RIDE
109,5,1,14,1,2,3,1548,983,81,24,92.53688,TIME
110,5,1,14,1,2,4,1641,989,6,18,91.798859,:
111,5,1,14,1,2,5,1662,983,98,24,93.305946,71.93
112,5,1,14,1,2,6,1774,982,63,25,92.641174,min
113,2,1,15,0,0,0,344,858,150,55,-1.0,
114,3,1,15,1,0,0,344,858,150,46,-1.0,
115,4,1,15,1,1,0,387,858,107,32,-1.0,
116,5,1,15,1,1,1,387,862,27,28,84.772606,Indir
117,5,1,15,1,1,2,410,858,33,24,27.422417,faGa
118,5,1,15,1,1,3,444,866,36,16,39.379517,ndhl
119,5,1,15,1,1,4,481,870,13,15,0.0,7;
120,4,1,15,1,2,0,344,870,147,43,-1.0,
121,5,1,15,1,2,1,344,870,73,43,0.0,WeRHeh
122,5,1,15,1,2,2,428,880,43,28,0.0,Alifiort
123,5,1,15,1,2,3,474,876,17,22,0.0,£
124,2,1,16,0,0,0,293,1030,1871,1324,-1.0,
125,3,1,16,1,0,0,293,1030,1686,331,-1.0,
126,4,1,16,1,1,0,321,1030,571,43,-1.0,
127,5,1,16,1,1,1,321,1038,28,25,25.380585,V4
128,5,1,16,1,1,2,569,1036,43,37,57.430077,4°
129,5,1,16,1,1,3,814,1030,28,12,23.607018,"iz,"
130,5,1,16,1,1,4,878,1035,14,33,3.101074,Wl
131,4,1,16,1,2,0,293,1035,1686,107,-1.0,
132,5,1,16,1,2,1,293,1035,149,107,25.626747,—
133,5,1,16,1,2,2,450,1040,58,85,0.0,i
134,5,1,16,1,2,3,530,1067,40,37,17.972069,=
135,5,1,16,1,2,4,683,1082,47,50,0.0,y
136,5,1,16,1,2,5,812,1040,114,88,0.0,Hh.
137,5,1,16,1,2,6,1108,1091,48,19,93.10482,OLA
138,5,1,16,1,2,7,1167,1091,90,19,93.09539,MONEY
139,5,1,16,1,2,8,1269,1091,141,19,92.48439,DEDUCTED
140,5,1,16,1,2,9,1844,1091,66,20,92.497894,CASH
141,5,1,16,1,2,10,1925,1091,54,19,67.54245,PAD
142,4,1,16,1,3,0,295,1124,1656,73,-1.0,
143,5,1,16,1,3,1,295,1124,114,73,0.0,Gugi
144,5,1,16,1,3,2,414,1127,112,66,11.154831,7
145,5,1,16,1,3,3,685,1136,91,60,0.0,‘u
146,5,1,16,1,3,4,865,1139,41,53,0.0,₹
147,5,1,16,1,3,5,1248,1128,22,34,94.228813,0
148,5,1,16,1,3,6,1870,1128,81,34,96.279572,416
149,4,1,16,1,4,0,297,1192,631,69,-1.0,
150,5,1,16,1,4,1,297,1206,101,55,0.0,@eati”
151,5,1,16,1,4,2,407,1200,67,49,0.0,W\
152,5,1,16,1,4,3,540,1228,2,2,45.925163,]
153,5,1,16,1,4,4,692,1197,50,35,0.0,E
154,5,1,16,1,4,5,801,1192,34,59,0.0,a
155,5,1,16,1,4,6,839,1210,41,38,12.988358,emté
156,5,1,16,1,4,7,885,1193,43,58,0.0,n
157,4,1,16,1,5,0,564,1314,1390,47,-1.0,
158,5,1,16,1,5,1,564,1314,409,47,85.316605,FAREJBREAKUP
159,5,1,16,1,5,2,1567,1314,387,47,0.0,IIAXJBREAKUP
160,3,1,16,2,0,0,300,1419,1864,289,-1.0,
161,4,1,16,2,1,0,300,1419,1864,40,-1.0,
162,5,1,16,2,1,1,300,1419,101,40,91.96537,First
163,5,1,16,2,1,2,419,1421,28,37,93.304817,4
164,5,1,16,2,1,3,469,1419,83,39,91.002525,km:
165,5,1,16,2,1,4,1056,1420,170,39,92.212128,₹100.0
166,5,1,16,2,1,5,1292,1419,177,40,91.79982,Service
