,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,2480,3509,-1.0,
1,2,1,1,0,0,0,2282,33,72,28,-1.0,
2,3,1,1,1,0,0,2282,33,72,28,-1.0,
3,4,1,1,1,1,0,2282,33,72,28,-1.0,
4,5,1,1,1,1,1,2282,33,72,28,23.537735,Col
5,2,1,2,0,0,0,575,849,242,14,-1.0,
6,3,1,2,1,0,0,575,849,242,14,-1.0,
7,4,1,2,1,1,0,575,849,242,14,-1.0,
8,5,1,2,1,1,1,575,849,242,14,95.0, 
9,2,1,3,0,0,0,58,895,1079,459,-1.0,
10,3,1,3,1,0,0,58,895,1079,459,-1.0,
11,4,1,3,1,1,0,58,895,1079,459,-1.0,
12,5,1,3,1,1,1,58,895,1079,459,95.0,   
13,2,1,4,0,0,0,1871,1100,150,8,-1.0,
14,3,1,4,1,0,0,1871,1100,150,8,-1.0,
15,4,1,4,1,1,0,1871,1100,150,8,-1.0,
16,5,1,4,1,1,1,1871,1100,150,8,95.0, 
17,2,1,5,0,0,0,62,44,2355,1255,-1.0,
18,3,1,5,1,0,0,62,44,2355,1256,-1.0,
19,4,1,5,1,1,0,68,44,2298,49,-1.0,
20,5,1,5,1,1,1,68,44,292,49,90.367409,Payment
21,5,1,5,1,1,2,382,44,249,49,90.949738,Summa
22,4,1,5,1,2,0,146,55,2271,104,-1.0,
23,5,1,5,1,2,1,146,55,38,53,88.654625,y
24,5,1,5,1,2,2,2195,67,222,92,62.106441,rapido
25,4,1,5,1,3,0,68,194,2346,53,-1.0,
26,5,1,5,1,3,1,68,194,120,53,91.701103,Ride
27,5,1,5,1,3,2,214,199,51,47,91.701103,ID
28,5,1,5,1,3,3,1698,199,716,48,91.349045,RD16968433487924964
29,4,1,5,1,4,0,63,315,2354,63,-1.0,
30,5,1,5,1,4,1,63,318,138,50,92.500572,Time
31,5,1,5,1,4,2,224,315,65,53,91.099297,of
32,5,1,5,1,4,3,310,315,120,53,93.070221,Ride
33,5,1,5,1,4,4,1754,320,105,48,93.129066,Oct
34,5,1,5,1,4,5,1878,315,93,53,96.789185,9th
35,5,1,5,1,4,6,1996,320,158,58,95.360794,"2023,"
36,5,1,5,1,4,7,2179,320,122,48,93.304268,3:18
37,5,1,5,1,4,8,2327,320,90,47,92.755234,PM
38,4,1,5,1,5,0,1152,556,167,58,-1.0,
39,5,1,5,1,5,1,1152,556,167,58,92.08577,Total
40,4,1,5,1,6,0,139,849,1335,88,-1.0,
41,5,1,5,1,6,1,139,849,451,75,0.0,—IiTZi
42,5,1,5,1,6,2,1272,849,165,88,5.440903,ai
43,4,1,5,1,7,0,301,873,1778,237,-1.0,
44,5,1,5,1,7,1,301,890,283,184,0.0,Si
45,5,1,5,1,7,2,576,873,384,237,0.0,ncr
46,5,1,5,1,7,3,1417,923,8,54,48.52639,|
47,5,1,5,1,7,4,1811,923,124,49,93.304222,7.08
48,5,1,5,1,7,5,1960,920,119,52,92.258682,kms
49,4,1,5,1,8,0,398,981,1019,51,-1.0,
50,5,1,5,1,8,1,398,986,248,43,0.0,eademmy
51,5,1,5,1,8,2,663,987,116,45,91.624252,Sout
52,4,1,5,1,9,0,247,995,1815,90,-1.0,
53,5,1,5,1,9,1,247,995,73,79,0.0,P
54,5,1,5,1,9,2,404,1043,99,40,0.0,o
55,5,1,5,1,9,3,1138,1029,65,56,53.419662,A
56,5,1,5,1,9,4,1363,1001,45,75,92.790703,/
57,5,1,5,1,9,5,1830,997,232,65,92.647614,DISTANCE
58,4,1,5,1,10,0,62,978,1313,234,-1.0,
59,5,1,5,1,10,1,62,978,231,193,3.258881,N
60,5,1,5,1,10,2,299,1156,62,56,26.335968,.
61,5,1,5,1,10,3,547,1073,90,85,0.0,gr
62,5,1,5,1,10,4,962,1111,107,66,0.0,7
63,5,1,5,1,10,5,1135,1087,7,4,14.613266,:
64,5,1,5,1,10,6,1189,1054,55,50,18.137405,D
65,5,1,5,1,10,7,1363,1088,12,67,0.0,\
66,4,1,5,1,11,0,883,1152,1227,135,-1.0,
67,5,1,5,1,11,1,883,1158,348,129,11.24733,Dehradun
68,5,1,5,1,11,2,1375,1159,4,69,86.186081,|
69,5,1,5,1,11,3,1421,1163,54,74,87.412193,/
70,5,1,5,1,11,4,1780,1152,161,49,93.304367,20.08
71,5,1,5,1,11,5,1966,1164,144,37,93.000854,mins
72,4,1,5,1,12,0,825,1240,1243,59,-1.0,
73,5,1,5,1,12,1,825,1259,4,26,6.90535,\
