,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,2550,3300,-1.0,
1,2,1,1,0,0,0,578,198,636,129,-1.0,
2,3,1,1,1,0,0,578,198,636,129,-1.0,
3,4,1,1,1,1,0,578,198,636,43,-1.0,
4,5,1,1,1,1,1,578,198,115,43,92.506889,"Area,"
5,5,1,1,1,1,2,712,198,142,37,92.713875,Sector
6,5,1,1,1,1,3,869,198,63,43,91.594406,"62,"
7,5,1,1,1,1,4,954,198,135,43,91.594406,"Noida,"
8,5,1,1,1,1,5,1110,198,104,37,93.002548,Uttar
9,4,1,1,1,2,0,582,284,492,43,-1.0,
10,5,1,1,1,2,1,582,284,177,37,92.350426,Pradesh
11,5,1,1,1,2,2,777,284,174,43,85.141891,"201309,"
12,5,1,1,1,2,3,973,284,101,37,92.113846,India
13,2,1,2,0,0,0,809,616,710,53,-1.0,
14,3,1,2,1,0,0,809,616,710,53,-1.0,
15,4,1,2,1,1,0,809,616,710,53,-1.0,
16,5,1,2,1,1,1,809,617,126,41,92.767242,Invite
17,5,1,2,1,1,2,954,627,107,42,92.767242,your
18,5,1,2,1,1,3,1076,616,165,42,93.043198,friends
19,5,1,2,1,1,4,1261,617,87,41,91.6754,and
20,5,1,2,1,1,5,1367,616,152,53,92.126381,family.
21,2,1,3,0,0,0,806,723,1074,46,-1.0,
22,3,1,3,1,0,0,806,723,1074,46,-1.0,
23,4,1,3,1,1,0,806,723,1074,46,-1.0,
24,5,1,3,1,1,1,806,723,129,37,92.073036,Share
25,5,1,3,1,1,2,951,723,66,37,92.781929,the
26,5,1,3,1,1,3,1036,723,104,37,92.744209,Uber
27,5,1,3,1,1,4,1156,723,86,37,92.368874,love
28,5,1,3,1,1,5,1260,723,77,37,93.154587,and
29,5,1,3,1,1,6,1356,723,87,46,91.647606,give
30,5,1,3,1,1,7,1458,723,147,37,92.267838,friends
31,5,1,3,1,1,8,1621,723,83,37,92.363663,free
32,5,1,3,1,1,9,1723,723,102,37,92.806145,rides
33,5,1,3,1,1,10,1842,724,38,36,92.978973,to
34,2,1,4,0,0,0,805,810,952,46,-1.0,
35,3,1,4,1,0,0,805,810,952,46,-1.0,
36,4,1,4,1,1,0,805,810,952,46,-1.0,
37,5,1,4,1,1,1,805,811,53,45,92.86734,try
